"Source","Url","Bias","Quality"
"ABC","https://abcnews.go.com/Politics/us-disrupted-alleged-russian-trolls-internet-access-midterms/story?id=61333049","-5.33","52.33"
"ABC","https://abcnews.go.com/Politics/appeals-court-mueller-properly-appointed-orders-stone-aide/story?id=61327058","0.67","51.67"
"ABC","https://abcnews.go.com/Politics/electoral-college-limits-campaign-playing-field-popular-voting/story?id=61794513&cid=clicksource_4380645_null_icymi_hed","-10.00","32.00"
"ABC","https://abcnews.go.com/Politics/facebook-agrees-hide-demographics-landlords-creditors-advertise/story?id=61792172&cid=clicksource_4380645_null_headlines_hed","-2.33","52.33"
"ABC","https://abcnews.go.com/Politics/donald-trump-trump-tropics-brazils-jair-bolsonaro-meet/story?id=61768235&cid=clicksource_4380645_null_icymi_hed","-4.33","52.67"
"ABC","https://abcnews.go.com/US/body-cam-video-shows-deadly-north-carolina-police/story?id=62427653&cid=clicksource_4380645_null_headlines_hed","0.67","51.00"
"ABC","https://abcnews.go.com/US/wireStory/michigan-ag-review-2015-fatal-shooting-ice-agent-62438824?cid=clicksource_4380645_null_headlines_hed","0.00","49.33"
"ABC","https://abcnews.go.com/Politics/mueller-report-release-nears-white-house-prepares-robust/story?id=62431076&cid=clicksource_4380645_null_card_hed","-2.33","54.33"
"ABC","https://abcnews.go.com/Politics/abortion-rights-group-asks-supreme-court-strike-louisiana/story?id=62460372","1.67","49.00"
"ABC","https://abcnews.go.com/Politics/trump-attacks-omar-progressive-democrats-unhappy-pelosis-defense/story?id=62432041","-6.00","52.00"
"ABC","https://abcnews.go.com/Politics/learned-2020-candidates-tax-returns/story?id=62419783","-0.67","47.67"
"ABC","https://abcnews.go.com/Politics/michael-cohen-president-trumps-personal-attorney-long-time/story?id=61335129&cid=clicksource_4380645_1_heads_hero_live_hero_hed","3.50","56.75"
"ABC","https://abcnews.go.com/Politics/republican-center-north-carolina-election-fraud-scandal-run/story?id=61333767","-0.75","53.25"
"ABC","https://abcnews.go.com/Politics/trump-blasts-mccain-fan/story?id=61786010&cid=clicksource_4380645_null_hero_hed","-12.25","50.75"
"ABC","https://abcnews.go.com/US/deferred-prosecution-deal-offered-england-patriots-owner-robert/story?id=61788743&cid=clicksource_4380645_null_headlines_hed","0.50","50.00"
"ABC","https://abcnews.go.com/Politics/trump-vetoes-resolution-end-us-involvement-yemen/story?id=62444234&cid=clicksource_4380645_null_headlines_hed","9.75","48.00"
"ABC","https://abcnews.go.com/Politics/takeaways-1st-major-fundraising-reports-2020-presidential-race/story?id=62430583&cid=clicksource_4380645_null_icymi_image","-6.50","46.75"
"ABC","https://abcnews.go.com/US/states-attorney-kim-foxx-calls-jussie-smollett-washed/story?id=62450462","-1.00","50.00"
"ABC","https://abcnews.go.com/Politics/attorney-general-barr-asylum-seekers-held-bail/story?id=62452869","-2.75","43.50"
"ABC","https://abcnews.go.com/US/search-underway-fort-carson-soldier-disappeared-monday-night/story?id=62450625","0.56","54.00"
"Al Jazeera","https://www.aljazeera.com/news/2019/02/disrupted-russian-trolls-day-november-election-report-190226175659275.html","-1.00","39.67"
"Al Jazeera","https://www.aljazeera.com/news/2019/02/190226020435999.html","-0.33","46.33"
"Al Jazeera","https://www.aljazeera.com/news/2019/04/turkey-eyes-sanctions-waivers-iran-oil-russia-arms-190416161636586.html","1.00","55.00"
"Al Jazeera","https://www.aljazeera.com/news/2019/02/senators-report-khashoggi-killing-intel-community-190226204839692.html","-8.25","44.75"
"Al Jazeera","https://www.aljazeera.com/news/2019/02/house-votes-block-trump-border-emergency-declaration-190226202114888.html","-9.75","48.25"
"Al Jazeera","https://www.aljazeera.com/news/2019/02/democrats-challenge-trumps-state-emergency-move-wall-190226065057219.html","-7.00","48.25"
"Al Jazeera","https://www.aljazeera.com/news/2019/03/trump-strongly-nato-privileges-brazil-190319163334744.html","3.50","40.75"
"Al Jazeera","https://www.aljazeera.com/news/2019/03/supreme-court-takes-sentencing-appeal-dc-sniper-case-190318151040579.html","-1.50","48.00"
"Al Jazeera","https://www.aljazeera.com/news/2019/03/6-states-reeling-rivers-rise-record-levels-190318092005387.html","-0.25","49.75"
"Al Jazeera","https://www.aljazeera.com/news/2019/03/summary-attacks-muslims-western-countries-190316150024125.html","-15.00","33.25"
"Al Jazeera","https://www.aljazeera.com/news/2019/03/trump-overrules-house-veto-border-wall-190315201213439.html","-4.00","52.00"
"Al Jazeera","https://www.aljazeera.com/news/2019/04/mueller-report-released-thursday-won-190416214801192.html","-1.25","45.50"
"Al Jazeera","https://www.aljazeera.com/news/2019/04/allowing-lawsuits-properties-seized-castro-cuba-190417142211925.html","-5.00","50.50"
"Al Jazeera","https://www.aljazeera.com/news/2019/04/asylum-seekers-show-credible-fear-eligible-bond-190417130324858.html","-6.00","50.50"
"Al Jazeera","https://www.aljazeera.com/news/2019/04/trump-vetoes-measure-involvement-yemen-war-190416234815258.html","-0.75","48.00"
"Alternet","https://www.alternet.org/2019/02/top-gop-leader-pauses-and-gives-a-spineless-defense-when-pressed-on-trumps-fake-national-emergency/","-14.00","26.33"
"Alternet","https://www.alternet.org/2019/03/heres-what-republicans-and-billionaires-really-mean-when-they-talk-about-freedom/","-24.67","30.00"
"Alternet","https://www.alternet.org/2019/03/white-nationalists-have-infiltrated-the-us-military/","-24.00","20.00"
"Alternet","https://www.alternet.org/2019/04/house-republicans-are-trying-to-stonewall-voter-suppression-investigations/","-23.33","33.33"
